Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Taco Shack,78731,10/17/2014,94,"3901 SPICEWOOD SPRINGS RD EB
AUSTIN, TX 78731
(30.382652540000436, -97.77136787699965)",2801305,Routine Inspection
Taco Shack,78756,09/13/2012,97,"4412 MEDICAL PKWY
AUSTIN, TX 78756
(30.314406921000455, -97.74194103499968)",2800840,Routine Inspection
Taco Shack #10,78750,03/17/2014,91,"12233 N FM 620 RD Bldg C
AUSTIN, TX 78750
(30.43159054400047, -97.80135633599969)",10935022,Routine Inspection
Taco Shack #10,78750,09/26/2014,92,"12233 N FM 620 RD Bldg C
AUSTIN, TX 78750
(30.43159054400047, -97.80135633599969)",10935022,Routine Inspection
Taco Shack #8,78754,01/07/2014,84,"8201 CROSS PARK DR
AUSTIN, TX 78754
(30.33047549100047, -97.66743449399968)",10023889,Routine Inspection
Taco Shack #8,78754,07/08/2014,88,"8201 CROSS PARK DR
AUSTIN, TX 78754
(30.33047549100047, -97.66743449399968)",10023889,Routine Inspection
Taco Shack #8,78754,08/10/2012,83,"8201 CROSS PARK DR
AUSTIN, TX 78754
(30.33047549100047, -97.66743449399968)",10023889,Routine Inspection
Taco Shack #8,78754,05/20/2013,88,"8201 CROSS PARK DR
AUSTIN, TX 78754
(30.33047549100047, -97.66743449399968)",10023889,Routine Inspection
Taco Shack III,78758,10/16/2012,88,"12439 METRIC BLVD
AUSTIN, TX 78758
(30.412384292000468, -97.69101478899967)",2801372,Routine Inspection
Taco Shack III,78758,12/21/2011,90,"12439 METRIC BLVD
AUSTIN, TX 78758
(30.412384292000468, -97.69101478899967)",2801372,Routine Inspection
Taco Shack III,78758,05/14/2014,86,"12439 METRIC BLVD
AUSTIN, TX 78758
(30.412384292000468, -97.69101478899967)",2801372,Routine Inspection
Taco Shack III,78758,11/04/2013,78,"12439 METRIC BLVD
AUSTIN, TX 78758
(30.412384292000468, -97.69101478899967)",2801372,Routine Inspection
Taco Shack III,78758,04/24/2013,90,"12439 METRIC BLVD
AUSTIN, TX 78758
(30.412384292000468, -97.69101478899967)",2801372,Routine Inspection
Taco Shack V,78701,05/17/2013,80,"402 BRAZOS ST
AUSTIN, TX 78701
(30.266130922000457, -97.74208967999965)",2802159,Routine Inspection
Taco Shack V,78701,08/14/2014,77,"402 BRAZOS ST
AUSTIN, TX 78701
(30.266130922000457, -97.74208967999965)",2802159,Routine Inspection
Taco Shack V,78701,04/02/2012,95,"402 BRAZOS ST
AUSTIN, TX 78701
(30.266130922000457, -97.74208967999965)",2802159,Routine Inspection
Taco Shack V,78701,12/06/2012,85,"402 BRAZOS ST
AUSTIN, TX 78701
(30.266130922000457, -97.74208967999965)",2802159,Routine Inspection
Tacos Ivan,78731,04/03/2014,100,"7007 VILLAGE CENTER DR
AUSTIN, TX 78731
(30.352214440000466, -97.7565796239997)",10801816,Routine Inspection
Tacos Ivan,78731,09/17/2013,92,"7007 VILLAGE CENTER DR
AUSTIN, TX 78731
(30.352214440000466, -97.7565796239997)",10801816,Routine Inspection
Tacos Ivan,78731,09/30/2014,100,"7007 VILLAGE CENTER DR
AUSTIN, TX 78731
(30.352214440000466, -97.7565796239997)",10801816,Routine Inspection
Taco Xpress,78704,06/20/2014,88,"2529 S LAMAR BLVD
AUSTIN, TX 78704
(30.246256365000477, -97.77856515999969)",2801273,Routine Inspection
Taco Xpress,78704,03/22/2012,95,"2529 S LAMAR BLVD
AUSTIN, TX 78704
(30.246256365000477, -97.77856515999969)",2801273,Routine Inspection
Taco Xpress,78704,12/27/2013,90,"2529 S LAMAR BLVD
AUSTIN, TX 78704
(30.246256365000477, -97.77856515999969)",2801273,Routine Inspection
Taco Xpress,78704,10/22/2012,92,"2529 S LAMAR BLVD
AUSTIN, TX 78704
(30.246256365000477, -97.77856515999969)",2801273,Routine Inspection
Taco Xpress,78704,06/06/2013,95,"2529 S LAMAR BLVD
AUSTIN, TX 78704
(30.246256365000477, -97.77856515999969)",2801273,Routine Inspection
Taco Zone,78748,06/11/2014,94,"9501 MANCHACA RD
AUSTIN, TX 78748
(30.177594197000474, -97.82155449099969)",10724213,Routine Inspection
Tailor Made Treats,78745,04/03/2014,97,"209 E BEN WHITE BLVD EB Unit 114
AUSTIN, TX 78745
(30.206884239000487, -97.7956469989997)",10968823,Routine Inspection
Taiwan Restaurant,78745,02/26/2014,76,"500 W WILLIAM CANNON DR Unit 420
AUSTIN, TX 78745
(30.19647548700044, -97.78620824599966)",2803283,Routine Inspection
Taiwan Restaurant,78745,12/13/2012,75,"500 W WILLIAM CANNON DR Unit 420
AUSTIN, TX 78745
(30.19647548700044, -97.78620824599966)",2803283,Routine Inspection
Taiwan Restaurant,78745,10/09/2014,73,"500 W WILLIAM CANNON DR Unit 420
AUSTIN, TX 78745
(30.19647548700044, -97.78620824599966)",2803283,Routine Inspection
Taiwan Restaurant,78745,06/25/2013,78,"500 W WILLIAM CANNON DR Unit 420
AUSTIN, TX 78745
(30.19647548700044, -97.78620824599966)",2803283,Routine Inspection
Taiwan Restaurant,78745,04/13/2012,81,"500 W WILLIAM CANNON DR Unit 420
AUSTIN, TX 78745
(30.19647548700044, -97.78620824599966)",2803283,Routine Inspection
Taj Palace Restaurant,78752,01/02/2014,84,"6700 MIDDLE FISKVILLE RD Unit 406
AUSTIN, TX 78752
(30.32838640400047, -97.7070764449997)",2800041,Routine Inspection
Taj Palace Restaurant,78752,05/10/2013,73,"6700 MIDDLE FISKVILLE RD Unit 406
AUSTIN, TX 78752
(30.32838640400047, -97.7070764449997)",2800041,Routine Inspection
Taj Palace Restaurant,78752,04/10/2012,71,"6700 MIDDLE FISKVILLE RD Unit 406
AUSTIN, TX 78752
(30.32838640400047, -97.7070764449997)",2800041,Routine Inspection
Taj Palace Restaurant,78752,07/29/2014,78,"6700 MIDDLE FISKVILLE RD Unit 406
AUSTIN, TX 78752
(30.32838640400047, -97.7070764449997)",2800041,Routine Inspection
Taj Video Corporation Inc.,78753,12/17/2013,88,"9515 N LAMAR BLVD Unit 152
AUSTIN, TX 78753
(30.364865342000485, -97.69598342799969)",2803478,Routine Inspection
Taj Video Corporation Inc.,78753,05/03/2013,92,"9515 N LAMAR BLVD Unit 152
AUSTIN, TX 78753
(30.364865342000485, -97.69598342799969)",2803478,Routine Inspection
Taj Video Corporation Inc.,78753,10/31/2012,83,"9515 N LAMAR BLVD Unit 152
AUSTIN, TX 78753
(30.364865342000485, -97.69598342799969)",2803478,Routine Inspection
Taj Video Corporation Inc.,78753,08/15/2014,84,"9515 N LAMAR BLVD Unit 152
AUSTIN, TX 78753
(30.364865342000485, -97.69598342799969)",2803478,Routine Inspection
Taj Video Corporation Inc.,78753,01/11/2012,77,"9515 N LAMAR BLVD Unit 152
AUSTIN, TX 78753
(30.364865342000485, -97.69598342799969)",2803478,Routine Inspection
Takoba,78702,06/27/2012,70,"1411 E 7TH ST
AUSTIN, TX 78702
(30.264343733000487, -97.72728977299965)",10410487,Routine Inspection
Takoba,78702,06/04/2013,75,"1411 E 7TH ST
AUSTIN, TX 78702
(30.264343733000487, -97.72728977299965)",10410487,Routine Inspection
Takoba,78702,12/30/2011,86,"1411 E 7TH ST
AUSTIN, TX 78702
(30.264343733000487, -97.72728977299965)",10410487,Routine Inspection
Takoba,78702,01/07/2013,81,"1411 E 7TH ST
AUSTIN, TX 78702
(30.264343733000487, -97.72728977299965)",10410487,Routine Inspection
Takoba,78702,09/30/2014,76,"1411 E 7TH ST
AUSTIN, TX 78702
(30.264343733000487, -97.72728977299965)",10410487,Routine Inspection
Tam Deli & Cafe,78753,04/02/2012,87,"8222 N LAMAR BLVD Bunit 33
AUSTIN, TX 78753
(30.351024132000475, -97.7088774609997)",2801533,Routine Inspection
Tam Deli & Cafe,78753,11/14/2013,86,"8222 N LAMAR BLVD Bunit 33
AUSTIN, TX 78753
(30.351024132000475, -97.7088774609997)",2801533,Routine Inspection
Tam Deli & Cafe,78753,04/29/2013,79,"8222 N LAMAR BLVD Bunit 33
AUSTIN, TX 78753
(30.351024132000475, -97.7088774609997)",2801533,Routine Inspection
Tam Deli & Cafe,78753,06/30/2014,86,"8222 N LAMAR BLVD Bunit 33
AUSTIN, TX 78753
(30.351024132000475, -97.7088774609997)",2801533,Routine Inspection
Tangent Cafe & Catering,78730,01/05/2012,82,"6500 RIVER PLACE BLVD
AUSTIN, TX 78730
(30.39151877200044, -97.8476951559997)",2803221,Routine Inspection
Tangent Cafe & Catering,78730,08/28/2014,100,"6500 RIVER PLACE BLVD
AUSTIN, TX 78730
(30.39151877200044, -97.8476951559997)",2803221,Routine Inspection
Tangent Cafe & Catering,78730,04/08/2013,83,"6500 RIVER PLACE BLVD
AUSTIN, TX 78730
(30.39151877200044, -97.8476951559997)",2803221,Routine Inspection
Tangent Cafe & Catering,78730,04/08/2014,96,"6500 RIVER PLACE BLVD
AUSTIN, TX 78730
(30.39151877200044, -97.8476951559997)",2803221,Routine Inspection
Tangent Cafe & Catering,78730,07/31/2012,93,"6500 RIVER PLACE BLVD
AUSTIN, TX 78730
(30.39151877200044, -97.8476951559997)",2803221,Routine Inspection
Tania's Tots Learning Center,78728,09/09/2014,93,"15400 MARSHA ST
AUSTIN, TX 78728
(30.449597233000475, -97.66879649099968)",10770465,Routine Inspection
Tania's Tots Learning Center,78728,03/10/2014,100,"15400 MARSHA ST
AUSTIN, TX 78728
(30.449597233000475, -97.66879649099968)",10770465,Routine Inspection
Tania's Tots Learning Center,78728,03/21/2013,100,"15400 MARSHA ST
AUSTIN, TX 78728
(30.449597233000475, -97.66879649099968)",10770465,Routine Inspection
Tania's Tots Learning Center,78728,09/27/2013,100,"15400 MARSHA ST
AUSTIN, TX 78728
(30.449597233000475, -97.66879649099968)",10770465,Routine Inspection
Tan My Restaurant,78758,08/25/2014,96,"1601 OHLEN RD
AUSTIN, TX 78758
(30.36411405400048, -97.71485319499965)",2800820,Routine Inspection
Tan My Restaurant,78758,02/13/2014,93,"1601 OHLEN RD
AUSTIN, TX 78758
(30.36411405400048, -97.71485319499965)",2800820,Routine Inspection
Tan My Restaurant,78758,08/08/2012,77,"1601 OHLEN RD
AUSTIN, TX 78758
(30.36411405400048, -97.71485319499965)",2800820,Routine Inspection
Tan My Restaurant,78758,08/19/2013,95,"1601 OHLEN RD
AUSTIN, TX 78758
(30.36411405400048, -97.71485319499965)",2800820,Routine Inspection
Tanney St. - Cain's Fine Catering,78721,01/17/2013,88,"4602 TANNEY ST
AUSTIN, TX 78721
(30.272985847000484, -97.69027847999968)",10559125,Routine Inspection
Tanney St. - Cain's Fine Catering,78721,08/20/2013,100,"4602 TANNEY ST
AUSTIN, TX 78721
(30.272985847000484, -97.69027847999968)",10559125,Routine Inspection
Tanney St. - Cain's Fine Catering,78721,05/27/2014,100,"4602 TANNEY ST
AUSTIN, TX 78721
(30.272985847000484, -97.69027847999968)",10559125,Routine Inspection
Tanney St. - Friend of a Friend Catering,78721,05/19/2014,87,"4602 TANNEY ST
AUSTIN, TX 78721
(30.272985847000484, -97.69027847999968)",10228355,Routine Inspection
Tanney St. - Friend of a Friend Catering,78721,08/23/2012,100,"4602 TANNEY ST
AUSTIN, TX 78721
(30.272985847000484, -97.69027847999968)",10228355,Routine Inspection
Tanney St. - Friend of a Friend Catering,78721,01/31/2012,94,"4602 TANNEY ST
AUSTIN, TX 78721
(30.272985847000484, -97.69027847999968)",10228355,Routine Inspection
Tanney St. - Friend of a Friend Catering,78721,05/29/2013,100,"4602 TANNEY ST
AUSTIN, TX 78721
(30.272985847000484, -97.69027847999968)",10228355,Routine Inspection
Taos Co-Op,78705,05/17/2012,86,"2612 GUADALUPE ST
AUSTIN, TX 78705
(30.291635528000484, -97.7412623409997)",2800402,Routine Inspection
Taos Co-Op,78705,12/06/2012,100,"2612 GUADALUPE ST
AUSTIN, TX 78705
(30.291635528000484, -97.7412623409997)",2800402,Routine Inspection
Taos Co-Op,78705,08/14/2014,100,"2612 GUADALUPE ST
AUSTIN, TX 78705
(30.291635528000484, -97.7412623409997)",2800402,Routine Inspection
Taos Co-Op,78705,01/30/2014,87,"2612 GUADALUPE ST
AUSTIN, TX 78705
(30.291635528000484, -97.7412623409997)",2800402,Routine Inspection
Taos Co-Op,78705,06/26/2013,91,"2612 GUADALUPE ST
AUSTIN, TX 78705
(30.291635528000484, -97.7412623409997)",2800402,Routine Inspection
Tapasitas,78701,05/07/2013,80,"800 W 6TH ST Unit 100
AUSTIN, TX 78701
(30.27028919400044, -97.75066130499965)",10794661,1st Follow Up to Routine of 50 - 69
Tapasitas,78701,05/02/2013,59,"800 W 6TH ST Unit 100
AUSTIN, TX 78701
(30.27028919400044, -97.75066130499965)",10794661,Routine Inspection
Tapasitas,78701,05/20/2013,78,"800 W 6TH ST Unit 100
AUSTIN, TX 78701
(30.27028919400044, -97.75066130499965)",10794661,Routine Inspection
Tapioca House,78705,01/20/2012,77,"1906 GUADALUPE ST
AUSTIN, TX 78705
(30.282503695000457, -97.74208161399969)",2802251,Routine Inspection
Tapioca House,78705,07/26/2012,88,"1906 GUADALUPE ST
AUSTIN, TX 78705
(30.282503695000457, -97.74208161399969)",2802251,Routine Inspection
Tapioca House,78705,01/15/2014,87,"1906 GUADALUPE ST
AUSTIN, TX 78705
(30.282503695000457, -97.74208161399969)",2802251,Routine Inspection
Tapioca House,78705,04/16/2013,76,"1906 GUADALUPE ST
AUSTIN, TX 78705
(30.282503695000457, -97.74208161399969)",2802251,Routine Inspection
